t_ms,I_nA,u_mWmm2
115.60000000000001,1.9007178142312817,20
115.7,1.9003388411441373,20
115.8,1.8999610452380722,20
115.9,1.8995844228188825,20
116.0,1.8992089702041983,20
116.10000000000001,1.8988346837234424,20
116.2,1.8984615597177912,20
116.3,1.898089594540135,20
116.4,1.8977187845550432,20
116.5,1.8973491261387183,20
116.60000000000001,1.8969806156789644,20
116.7,1.8966132495751433,20
116.8,1.8962470242381386,20
116.9,1.8958819360903176,20
117.0,1.8955179815654914,20
117.10000000000001,1.8951551571088785,20
117.20000000000002,1.8947934591770672,20
117.3,1.8944328842379745,20
117.4,1.8940734287708132,20
117.5,1.8937150892660506,20
117.60000000000001,1.893357862225374,20
117.7,1.893001744161651,20
117.8,1.8926467315988942,20
117.9,1.8922928210722236,20
118.0,1.8919400091278291,20
118.10000000000001,1.8915882923229352,20
118.2,1.8912376672257638,20
118.3,1.8908881304154956,20
118.4,1.890539678482239,20
118.5,1.8901923080269878,20
118.60000000000001,1.8898460156615906,20
118.7,1.8895007980087102,20
118.8,1.8891566517017906,20
118.9,1.8888135733850213,20
119.0,1.8884715597133004,20
119.10000000000001,1.8881306073522004,20
119.2,1.8877907129779319,20
119.3,1.887451873277309,20
119.4,1.8871140849477142,20
119.5,1.8867773446970637,20
119.60000000000001,1.8864416492437717,20
119.7,1.8861069953167164,20
119.8,1.8857733796552056,20
119.9,1.885440799008943,20
120.0,1.8851092501379911,20
120.10000000000001,1.8847787298127392,20
120.2,1.8844492348138702,20
120.3,1.8841207619323244,20
120.4,1.883793307969266,20
120.50000000000001,1.8834668697360513,20
120.6,1.8831414440541931,20
120.7,1.882817027755328,20
120.8,1.8824936176811828,20
120.9,1.8821712106835415,20
121.00000000000001,1.8818498036242124,20
121.1,1.8815293933749941,20
121.2,1.881209976817645,20
121.3,1.8808915508438455,20
121.4,1.8805741123551714,20
121.50000000000001,1.8802576582630572,20
121.6,1.8799421854887661,20
121.7,1.8796276909633558,20
121.8,1.879314171627646,20
121.9,1.8790016244321894,20
122.00000000000001,1.8786900463372365,20
122.1,1.8783794343127045,20
122.2,1.8780697853381472,20
122.3,1.8777610964027198,20
122.4,1.8774533645051528,20
122.50000000000001,1.877146586653715,20
122.6,1.876840759866184,20
122.7,1.876535881169817,20
122.8,1.8762319476013185,20
122.9,1.8759289562068078,20
123.00000000000001,1.8756269040417892,20
123.1,1.8753257881711218,20
123.2,1.8750256056689885,20
123.3,1.8747263536188652,20
123.4,1.8744280291134905,20
123.50000000000001,1.8741306292548336,20
123.6,1.8738341511540675,20
123.7,1.8735385919315375,20
123.80000000000001,1.873243948716728,20
123.9,1.8729502186482374,20
124.0,1.8726573988737456,20
124.1,1.8723654865499844,20
124.2,1.8720744788427086,20
124.30000000000001,1.8717843729266652,20
124.4,1.871495165985566,20
124.5,1.8712068552120562,20
124.6,1.8709194378076874,20
124.7,1.870632910982885,20
124.80000000000001,1.8703472719569239,20
124.9,1.8700625179578945,20
125.0,1.869778646222678,20
125.10000000000001,1.8694956539969156,20
125.2,1.8692135385349808,20
125.3,1.8689322970999502,20
125.4,1.8686519269635744,20
125.5,1.8683724254062521,20
125.60000000000001,1.8680937897169991,20
125.7,1.867816017193422,20
125.8,1.8675391051416892,20
125.9,1.8672630508765042,20
126.0,1.8669878517210758,20
126.10000000000001,1.866713505007092,20
126.2,1.8664400080746921,20
126.3,1.8661673582724376,20
126.4,1.8658955529572878,20
126.5,1.8656245894945689,20
126.60000000000001,1.8653544652579495,20
126.7,1.8650851776294117,20
126.8,1.8648167239992255,20
126.9,1.86454910176592,20
127.0,1.8642823083362579,20
127.10000000000002,1.8640163411252084,20
127.2,1.8637511975559204,20
127.3,1.8634868750596953,20
127.4,1.8632233710759614,20
127.5,1.8629606830522472,20
127.60000000000002,1.8626988084441538,20
127.7,1.8624377447153315,20
127.8,1.862177489337451,20
127.9,1.8619180397901778,20
128.0,1.8616593935611463,20
128.10000000000002,1.861401548145936,20
128.20000000000002,1.8611445010480414,20
128.29999999999998,1.8608882497788508,20
128.4,1.860632791857618,20
128.5,1.8603781248114364,20
128.60000000000002,1.8601242461752152,20
128.70000000000002,1.8598711534916543,20
128.79999999999998,1.8596188443112165,20
128.9,1.8593673161921038,20
129.0,1.8591165667002338,20
129.1,1.858866593409212,20
129.20000000000002,1.8586173939003077,20
129.29999999999998,1.8583689657624303,20
129.4,1.8581213065921036,20
129.5,1.8578744139934407,20
129.6,1.85762828557812,20
129.70000000000002,1.857382918965362,20
129.79999999999998,1.8571383117818998,20
129.9,1.8568944616619623,20
130.0,1.856651366247244,20
130.1,1.8564090231868826,20
